0,F3,eighth
0,F3,eighth
75,G3,16th
75,G3,16th
100,A3,quarter
100,A3,quarter
250,F3,eighth
250,F3,eighth
300,B-3,eighth
300,B-3,eighth
375,A3,16th
375,A3,16th
400,A3,eighth
400,A3,eighth
450,G3,eighth
450,G3,eighth
600,C4,eighth
600,C4,eighth
650,B-3,eighth
650,B-3,eighth
700,A3,quarter
700,A3,quarter
850,B-3,eighth
850,B-3,eighth
900,A3,eighth
900,A3,eighth
950,F3,eighth
950,F3,eighth
1000,D3,quarter
1000,D3,quarter
1200,C4,eighth
1200,C4,eighth
1250,B-3,eighth
1250,B-3,eighth
1300,A3,quarter
1300,A3,quarter
1450,F3,eighth
1450,F3,eighth
1500,B-3,eighth
1500,B-3,eighth
1575,A3,16th
1575,A3,16th
1600,A3,eighth
1600,A3,eighth
1650,G3,eighth
1650,G3,eighth
1800,D3,eighth
1800,D3,eighth
1850,F3,eighth
1850,F3,eighth
1900,F3,quarter
1900,F3,quarter
2050,F3,eighth
2050,F3,eighth
2100,G3,eighth
2100,G3,eighth
2175,F3,16th
2175,F3,16th
2200,F3,half
2200,F3,half
2400,F4,eighth
2450,G4,eighth
2500,A4,quarter
2500,F4,half
2500,F3,half
2500,F3,half
2650,F4,eighth
2700,B-4,eighth
2775,A4,16th
2800,A4,16th
2800,E4,half
2800,G3,half
2800,C3,half
2825,G4,eighth
3000,C5,eighth
3050,B-4,eighth
3100,A4,quarter
3100,G4,quarter
3100,F3,half
3100,D3,half
3200,F4,quarter
3250,B-4,eighth
3300,A4,16th
3300,E4,quarter
3300,E3,quarter
3325,F4,eighth
3400,D4,quarter
3400,D4,half
3400,D3,half
3400,B-2,half
3600,C5,eighth
3600,D4,eighth
3600,D3,eighth
3650,B-4,eighth
3650,E4,eighth
3650,E3,eighth
3700,A4,quarter
3700,F4,half
3700,F3,half
3700,F3,half
3850,F4,eighth
3900,B-4,eighth
3975,A4,16th
4000,A4,eighth
4000,E4,half
4000,G3,half
4000,C3,half
4050,G4,eighth
4200,D4,eighth
4250,F4,eighth
4300,F4,quarter
4300,D4,half
4300,F3,half
4300,B-2,half
4450,F4,eighth
4500,G4,eighth
4500,C4,eighth
4500,G3,quarter
4500,C3,quarter
4575,F4,16th
4575,D4,16th
4600,F4,half
4600,C4,half
4600,F3,half
4600,F3,half
4800,F4,eighth
4800,F4,eighth
4800,C4,eighth
4800,C4,eighth
4850,G4,eighth
4850,F4,eighth
4850,C4,eighth
4850,C4,eighth
4900,A4,quarter
4900,F4,quarter
4900,F4,quarter
4900,C4,quarter
4900,F3,quarter
4900,F2,quarter
4900,F2,quarter
5000,F4,quarter
5000,F3,quarter
5000,F2,quarter
5000,F2,quarter
5050,F4,eighth
5050,F4,eighth
5050,C4,eighth
5100,B-4,eighth
5100,F4,eighth
5100,F4,quarter
5100,C4,eighth
5100,F3,quarter
5100,F2,quarter
5100,F2,quarter
5175,A4,16th
5175,F4,16th
5175,C4,16th
5200,A4,16th
5200,F4,16th
5200,G4,quarter
5200,C4,16th
5200,C3,quarter
5200,C3,quarter
5200,C2,quarter
5225,G4,eighth
5225,E4,eighth
5225,C4,eighth
5300,G4,quarter
5300,E4,quarter
5300,G4,quarter
5300,C4,quarter
5300,C3,quarter
5300,C3,quarter
5300,C2,quarter
5400,C5,eighth
5400,D4,eighth
5400,G4,quarter
5400,C4,eighth
5400,C3,quarter
5400,C3,quarter
5400,C2,quarter
5450,B-4,eighth
5450,E4,eighth
5450,C4,eighth
5500,A4,quarter
5500,F4,quarter
5500,A4,quarter
5500,D4,quarter
5500,D3,quarter
5500,D3,quarter
5500,D2,quarter
5600,A4,quarter
5600,D3,quarter
5600,D3,quarter
5600,D2,quarter
5650,B-4,eighth
5650,F4,eighth
5650,D4,eighth
5700,A4,16th
5700,F4,16th
5700,A4,quarter
5700,D4,16th
5700,D3,quarter
5700,D3,quarter
5700,D2,quarter
5725,E4,eighth
5725,E4,eighth
5725,C4,eighth
5800,D4,quarter
5800,D4,quarter
5800,F4,quarter
5800,B-3,quarter
5800,B-3,quarter
5800,B-2,quarter
5800,B-1,quarter
5900,F4,quarter
5900,B-3,quarter
5900,B-2,quarter
5900,B-1,quarter
5950,C4,eighth
5950,C4,eighth
5950,C4,eighth
6000,C5,eighth
6000,D4,eighth
6000,F4,quarter
6000,C4,eighth
6000,B-3,quarter
6000,B-2,quarter
6000,B-1,quarter
6050,B-4,eighth
6050,E4,eighth
